Type1	Type2	Type3	Offense(Stab1,Stab2)	Defense(Stab1,Stab2)
'Normal', 'Fire'	'Normal', 'Water'	'Normal', 'Grass'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Normal', 'Water'	'Grass', 'Poison'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Normal', 'Water'	'Grass', 'Flying'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Normal', 'Water'	'Grass', 'Psychic'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Normal', 'Water'	'Grass', 'Dark'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Normal', 'Water'	'Grass', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Normal', 'Grass'	'Water', 'Psychic'	1.0, 2.0	0.5, 1.0
'Normal', 'Fire'	'Normal', 'Grass'	'Water', 'Dark'	1.0, 2.0	0.5, 1.0
'Normal', 'Fire'	'Normal', 'Grass'	'Water', 'None_Type'	1.0, 2.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Electric'	'Fire', 'Poison'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Electric'	'Fire', 'Psychic'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Electric'	'Fire', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Electric'	'Fire', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Poison'	'Fire', 'Flying'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Poison'	'Fire', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Poison'	'Fire', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Flying'	'Fire', 'Psychic'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Flying'	'Fire', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Flying'	'Fire', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Flying'	'Dragon', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Flying'	'Dragon', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Psychic'	'Fire', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Psychic'	'Dragon', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Psychic'	'Dragon', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'Dark'	'Fire', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Fire', 'None_Type'	'Dragon', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Fire'	'Water', 'Psychic'	'Grass', 'Flying'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Water', 'Psychic'	'Grass', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Water', 'Dark'	'Grass', 'Poison'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Water', 'Dark'	'Grass', 'Flying'	0.5, 1.0	1.0, 2.0
